Neighborhood,Population,Latitude,Longitude
Mumbai,18394912,18.940170000000023,72.83483000000007
Delhi,16349831,28.634100000000046,77.21689000000003
Kolkata,14112536,22.570530000000076,88.37124000000006
Chennai,8696010,13.083620000000053,80.28252000000003
Bangalore,8520435,12.966180000000065,77.58690000000007
Hyderabad,7749334,17.394870000000026,78.47076000000004
Ahmedabad,6361084,23.027760000000058,72.60027000000008
Pune,5057709,18.504220000000032,73.85302000000007
Surat,4591246,21.185780000000022,72.83679000000006
Jaipur,3073350,26.925730000000044,75.80659000000003
Kanpur,2920496,26.43562000000003,80.32986000000005
Lucknow,2902920,26.85471000000007,80.92135000000007
Nagpur,2497870,21.157050000000027,79.08217000000008
Ghaziabad,2375820,28.662490000000048,77.43777000000006
Indore,2170295,22.716220000000078,75.86512000000005
Coimbatore,2151466,10.994160000000022,76.96629000000007
Kochi,2119724,9.936010000000067,76.26142000000004
Patna,2049156,25.601290000000063,85.13751000000008
Kozhikode,2030519,11.25881000000004,75.78084000000007
Bhopal,1886100,23.26466000000005,77.40518000000003
Thrissur,1861269,10.510820000000024,76.21121000000005
Vadodara,1822221,22.30946000000006,73.17993000000007
Agra,1760285,27.192170000000033,78.00007000000005
Visakhapatnam,1728128,17.719840000000033,83.26278000000008
Malappuram,1699060,11.042850000000044,76.08037000000007
Thiruvananthapuram,1687406,8.505190000000027,76.95139000000006
Kannur,1642892,11.874720000000025,75.37518000000006
Ludhiana,1618879,30.907250000000033,75.84919000000008
Nashik,1562769,19.995030000000042,73.79647000000006
Vijayawada,1491202,16.502560000000074,80.63977000000006
Madurai,1465625,9.92417000000006,78.12416000000007
Varanasi,1435113,25.332890000000077,82.99654000000004
Meerut,1424908,28.998600000000067,77.70442000000008
Faridabad,1414050,28.39247000000006,77.31276000000008
Rajkot,1390933,22.300000000000068,70.78333000000003
Jamshedpur,1339438,22.78150000000005,86.21215000000007
Srinagar,1273312,34.084430000000054,74.79906000000005
Jabalpur,1268848,23.174180000000035,79.93136000000004
Asansol,1243414,23.68432000000007,86.97938000000005
Vasai-Virar,1222390,19.20505000000003,72.95530000000008
Allahabad,1216719,25.436090000000036,81.84718000000004
Dhanbad,1196214,23.795930000000055,86.43060000000008
Aurangabad,1193167,19.870100000000036,75.34602000000007
Amritsar,1183705,31.633470000000045,74.87507000000005
Jodhpur,1138300,26.266910000000053,73.03052000000008
Ranchi,1126741,23.350600000000043,85.31378000000007
Raipur,1123558,21.244020000000035,81.63477000000006
Kollam,1110668,8.88689000000005,76.59228000000007
Gwalior,1102884,26.220110000000034,78.17620000000005
Bhilai,1064222,21.220270000000028,81.38004000000006
Chandigarh,1026459,30.703410000000076,76.78943000000004
Tiruchirappalli,1022518,10.805920000000071,78.69474000000008
Kota,1001694,25.165310000000034,75.85123000000004
Mysore,990900,12.309060000000045,76.65303000000006
Bareilly,985752,28.35432000000003,79.41615000000007
Tiruppur,963173,11.089410000000044,77.36260000000004
Guwahati,968549,26.17724000000004,91.75419000000005
Solapur,951558,17.658040000000028,75.90685000000008
Hubli-Dharwad,943857,15.350440000000049,75.13742000000008
Salem,919150,11.665530000000047,78.15164000000004
Aligarh,911223,27.886250000000075,78.07385000000005
Gurugram,902112,28.47762000000006,77.06952000000007
Moradabad,889810,28.83893000000006,78.77684000000005
Bhubaneswar,885363,20.268790000000024,85.84100000000007
Jalandhar,874412,31.330820000000074,75.59008000000006
Warangal,759594,17.984050000000025,79.60205000000008
Bhiwandi,737411,19.29713000000004,73.06348000000008
Dehradun,714223,30.309520000000077,78.04889000000009
Siliguri,705579,26.732440000000054,88.40871000000004
Saharanpur,705478,29.965690000000052,77.54605000000004
Gorakhpur,694889,26.754310000000032,83.37557000000004
Guntur,673952,16.300000000000068,80.45000000000005
Cuttack,663188,20.46649000000008,85.89613000000008
Jammu,657314,32.70273000000003,74.87870000000004
Puducherry,657209,11.92993000000007,79.82470000000006
Amravati,647057,20.93333000000007,77.75000000000006
Bikaner,647804,28.016470000000027,73.31184000000007
Noida,642381,28.533420000000035,77.38190000000003
Mangalore,623841,12.897850000000062,74.84541000000007
Belagavi,610350,15.867020000000025,74.51167000000004
Bhavnagar,606282,21.770030000000077,72.14590000000004
Firozabad,604214,27.15912000000003,78.39579000000003
Jamnagar,600943,22.469190000000026,70.07095000000004
Durgapur,581409,23.532320000000027,87.30735000000004
Malegaon,576642,20.550000000000068,74.53333000000003
Bokaro,564319,23.783330000000035,85.96667000000008
Nellore,564148,14.439790000000073,79.99362000000008
Kolhapur,561841,16.70446000000004,74.24137000000007
Raurkela,552970,22.229720000000043,84.86077000000006
Ajmer,551360,26.465530000000058,74.63169000000005
Nanded,550564,19.15566000000007,77.31105000000008
Jhansi,549391,25.44858000000005,78.56955000000005
Gulbarga,543147,17.332740000000058,76.84035000000006
Erode,521891,11.34065000000004,77.71723000000003
Ujjain,515215,23.180870000000027,75.78816000000006
Sangli,513961,16.85438000000005,74.56417000000005
Tirunelveli,498984,8.72640000000007,77.73349000000007
Muzaffarnagar,495543,29.470290000000034,77.70761000000005
Vellore,484690,12.913560000000075,79.13251000000008
Kurnool,484327,15.825480000000027,78.03014000000007
